cve_ent,desc_ent,cve_distrito,desc_distrito
00,Estados Unidos Mexicanos,000,Total Nacional
01,Aguascalientes,000,Total Estatal
01,Aguascalientes,001,Distrito 001
01,Aguascalientes,002,Distrito 002
01,Aguascalientes,003,Distrito 003
02,Baja California,000,Total Estatal
02,Baja California,001,Distrito 001
02,Baja California,002,Distrito 002
02,Baja California,003,Distrito 003
02,Baja California,004,Distrito 004
02,Baja California,005,Distrito 005
02,Baja California,006,Distrito 006
02,Baja California,007,Distrito 007
02,Baja California,008,Distrito 008
03,Baja California Sur,000,Total Estatal
03,Baja California Sur,001,Distrito 001
03,Baja California Sur,002,Distrito 002
04,Campeche,000,Total Estatal
04,Campeche,001,Distrito 001
04,Campeche,002,Distrito 002
05,Coahuila de Zaragoza,000,Total Estatal
05,Coahuila de Zaragoza,001,Distrito 001
05,Coahuila de Zaragoza,002,Distrito 002
05,Coahuila de Zaragoza,003,Distrito 003
05,Coahuila de Zaragoza,004,Distrito 004
05,Coahuila de Zaragoza,005,Distrito 005
05,Coahuila de Zaragoza,006,Distrito 006
05,Coahuila de Zaragoza,007,Distrito 007
06,Colima,000,Total Estatal
06,Colima,001,Distrito 001
06,Colima,002,Distrito 002
07,Chiapas,000,Total Estatal
07,Chiapas,001,Distrito 001
07,Chiapas,002,Distrito 002
07,Chiapas,003,Distrito 003
07,Chiapas,004,Distrito 004
07,Chiapas,005,Distrito 005
07,Chiapas,006,Distrito 006
07,Chiapas,007,Distrito 007
07,Chiapas,008,Distrito 008
07,Chiapas,009,Distrito 009
07,Chiapas,010,Distrito 010
07,Chiapas,011,Distrito 011
07,Chiapas,012,Distrito 012
07,Chiapas,013,Distrito 013
08,Chihuahua,000,Total Estatal
08,Chihuahua,001,Distrito 001
08,Chihuahua,002,Distrito 002
08,Chihuahua,003,Distrito 003
08,Chihuahua,004,Distrito 004
08,Chihuahua,005,Distrito 005
08,Chihuahua,006,Distrito 006
08,Chihuahua,007,Distrito 007
08,Chihuahua,008,Distrito 008
08,Chihuahua,009,Distrito 009
09,Ciudad de México,000,Total Estatal
09,Ciudad de México,001,Distrito 001
09,Ciudad de México,002,Distrito 002
09,Ciudad de México,003,Distrito 003
09,Ciudad de México,004,Distrito 004
09,Ciudad de México,005,Distrito 005
09,Ciudad de México,006,Distrito 006
09,Ciudad de México,007,Distrito 007
09,Ciudad de México,008,Distrito 008
09,Ciudad de México,009,Distrito 009
09,Ciudad de México,010,Distrito 010
09,Ciudad de México,011,Distrito 011
09,Ciudad de México,012,Distrito 012
09,Ciudad de México,013,Distrito 013
09,Ciudad de México,014,Distrito 014
09,Ciudad de México,015,Distrito 015
09,Ciudad de México,016,Distrito 016
09,Ciudad de México,017,Distrito 017
09,Ciudad de México,018,Distrito 018
09,Ciudad de México,019,Distrito 019
09,Ciudad de México,020,Distrito 020
09,Ciudad de México,021,Distrito 021
09,Ciudad de México,022,Distrito 022
09,Ciudad de México,023,Distrito 023
09,Ciudad de México,024,Distrito 024
10,Durango,000,Total Estatal
10,Durango,001,Distrito 001
10,Durango,002,Distrito 002
10,Durango,003,Distrito 003
10,Durango,004,Distrito 004
11,Guanajuato,000,Total Estatal
11,Guanajuato,001,Distrito 001
11,Guanajuato,002,Distrito 002
11,Guanajuato,003,Distrito 003
11,Guanajuato,004,Distrito 004
11,Guanajuato,005,Distrito 005
11,Guanajuato,006,Distrito 006
11,Guanajuato,007,Distrito 007
11,Guanajuato,008,Distrito 008
11,Guanajuato,009,Distrito 009
