CVE_FED,Escolaridad Promedio 2016,,PIB per cápita (2017)
0,9.2,  140,
100,9.6,  163,
200,9.9,  157,
300,9.9,  198,
400,NA,NA,
500,9.6,  198,
600,9.4,  141,
700,7.6,  51,
800,9.4,  151,
900,11.1,  336,
1000,9.3,  110,
1100,8.5,  119,
1200,7.9,  66,
1300,8.4,  89,
1400,9.3,  146,
1500,9.5,  92,
1600,7.8,  89,
1700,9.4,  102,
1800,9.1,  99,
1900,9.9,  237,
2000,7.5,  61,
2100,8.8,  92,
2200,9.6,  186,
2300,9.7,  171,
2400,9.0,  128,
2500,9.7,  125,
2600,10.0,  193,
2700,NA ,NA,
2800,9.6,  138,
2900,9.4,  72,
3000,8.2,  95,
3100,8.8,  114,
3200,8.7,  96,
