X,CVE_FED,IND_002,IND_824,IND_047,IND_055,IND_141,IND_128,Ethnic,c_distmin
1,0,100,10.40428567,60.96423176,31949709,21.49649973,1.156064833,0.773474354,0.269648
2,100,1.098080592,8.609920886,233.7287717,334589,11.68684631,0.049750713,0.88263403,0.249648343
3,200,2.773985704,8.463715473,46.406572,967863,8.536639799,0.224533336,0.912388269,0.528805372
4,300,0.595686869,8.14812318,9.633812308,209834,14.47047803,1.549375096,0.839801469,0.419562094
5,400,0.752886581,9.549398787,15.64893218,244471,44.53797013,0.394919166,0.550671107,0.493603812
6,500,2.47209603,9.699229927,19.49222526,809275,6.933871194,0.093437544,0.929726913,0.592218152
7,600,0.595022605,10.15065344,126.3994324,205243,20.42883154,0.107137585,0.794640309,0.1874652
8,700,4.365326804,8.143608511,71.17496601,1239007,36.14674693,0.077463995,0.637757891,0.198501751
9,800,2.975446829,9.614674122,14.3750788,1033658,11.28037825,0.076984199,0.886426376,0.344659216
10,900,7.461387782,14.31216126,5967.293254,2601323,8.797348658,1.797950879,0.894047005,0.027881674
11,1000,1.468035594,10.13475393,14.22417981,455989,7.944532396,0.010827729,0.920446399,0.670435402
12,1100,4.897214192,9.540601574,191.2549312,1443035,9.129953703,0.03495239,0.908350939,0.465174815
13,1200,2.955934696,10.93876433,55.55785645,895157,33.91669598,6.49583061,0.595874734,0.284807495
14,1300,2.391316819,10.89779136,137.2795697,757252,36.21165151,0.072314219,0.637160343,0.164076159
15,1400,6.563022321,10.31749573,99.81220982,2059987,11.12236976,0.779366793,0.880982634,0.257277468
16,1500,13.54263032,9.373991513,724.2300571,4168206,16.99863253,1.879672401,0.811216951,0.089036257
17,1600,3.835390379,11.13967129,78.23504388,1191884,27.68714209,0.081448874,0.72231409,0.238222656
18,1700,1.592737394,11.82428298,390.2130932,523984,28.11460802,0.417320837,0.714680711,0.118950219
19,1800,0.988072082,10.86931121,42.39760557,332553,22.18424283,0.062910122,0.77752847,0.454768777
20,1900,4.283001547,9.853669418,79.79740701,1393542,6.881174426,1.4892263,0.916295993,0.162597702
21,2000,3.319554927,11.91391695,42.3207955,1043527,65.72555331,4.945022404,0.293294243,0.27832378
22,2100,5.16091704,10.07360652,179.8033413,1554026,35.28342165,0.118044061,0.645985343,0.225306023
23,2200,1.70531177,8.569191492,174.3601618,533596,19.17432147,0.115680553,0.80709998,0.124327632
24,2300,1.256213955,6.245829343,33.58789105,441200,44.44278691,0.563280104,0.54993933,0.195299644
25,2400,2.273741219,11.35884643,44.45388049,710233,23.20256676,0.039222612,0.767582106,0.265669769
26,2500,2.481638345,11.06448021,51.70919816,806237,12.83155127,0.038701139,0.871297476,0.563800881
27,2600,2.384599719,10.04922237,15.89210579,814820,17.82828655,0.05564268,0.821160708,0.639914813
28,2700,2.003896018,9.030122675,96.85142639,646448,25.76755375,0.110718115,0.741217281,0.38728321
29,2800,2.879341018,10.34143612,42.88757804,987184,6.295874885,0.293546964,0.934105782,0.547160791
30,2900,1.064869892,9.421870814,318.4327844,310504,25.24341103,0.061908462,0.746946805,0.111770926
31,3000,6.786960507,12.09257806,112.9506303,2251217,29.25228397,3.280897824,0.674668182,0.319117531
32,3100,1.754506641,11.09649886,53.06070421,565015,65.40345942,0.121830558,0.3447471,0.23136739
33,3200,1.321173807,11.08073726,20.97908216,418850,7.613051851,0.015640742,0.923713074,0.489622086
