"","ï..CVE_FED","CVE_ENT","distrito","MI","Indigena","Complejidad","IND_002","IND_002_LI","IND_002_LS","IND_002_EE","IND_002_CV","IND_824","IND_824_LI","IND_824_LS","IND_824_EE","IND_824_CV","IND_047","IND_047_LI","IND_047_LS","IND_047_EE","IND_047_CV","IND_055","IND_055_LI","IND_055_LS","IND_055_EE","IND_055_CV","IND_141","IND_141_LI","IND_141_LS","IND_141_EE","IND_141_CV","IND_128","IND_128_LI","IND_128_LS","IND_128_EE","IND_128_CV","Ethnic","ANP_Cercana","dist_min","c_ANPCercana","c_distmin"
"1",101,1,1,"","NO","Dispersos 1",33.27857961,31.96480796,34.61887244,0.80650735,2.423502923,7.850117675,7.580583516,8.128392471,0.166410739,2.119850252,98.50174779,95.54359958,101.459896,1.797466713,1.824806923,104471,101116.9507,107825.0493,2038.029033,1.95080839,11.33755804,10.72768225,11.97745383,0.379603911,3.348198175,0.027701719,0.0184366,0.041620988,0.00685311,24.73893391,88.63474024,15,0,12,25267.6598136395
"2",102,1,2,"","NO","Concentrados 1",33.53015213,30.43618176,36.77238086,1.927231936,5.747757805,6.118182768,5.451666495,6.860274157,0.427258707,6.983425029,1654.155789,1475.90853,1832.403047,108.3088107,6.547678968,112124,100112.7185,124135.2815,7298.443884,6.509261072,11.22318211,10.05794668,12.50464428,0.742598592,6.616649221,0.045444424,0.019093865,0.10812084,0.023940699,52.68126964,88.73137347,12,12212.40622,12,46607.4999376871
"3",103,1,3,"","NO","Concentrados 2",33.19126825,30.16966763,36.35792846,1.882115145,5.670512892,11.88890164,11.00494193,12.83362536,0.555322191,4.670929306,456.835446,410.0003463,503.6705456,28.45852424,6.229491273,117994,106347.7265,129640.2735,7076.653181,5.997468669,12.50545162,11.15294726,13.99613491,0.862975795,6.900796714,0.076207965,0.045194544,0.128476075,0.024190549,31.74280882,87.41834042,15,0,12,56861.2485517699
"4",201,2,1,"","NO","Concentrados 2",12.80925735,11.57959372,14.14860687,0.780034767,6.089617418,8.223909589,7.518734447,8.988794142,0.446295739,5.426807458,184.9939305,166.5067087,203.4811522,11.23476577,6.07304561,123255,111218.1731,135291.8269,7314.832506,5.934714621,4.581788216,3.67050271,5.70591962,0.614426817,13.41019681,0.032727059,0.015661529,0.068375268,0.01465623,44.78321723,95.38548473,NA,NA,29,88049.3984003038
"5",202,2,2,"","NO","Concentrados 1",12.13843196,10.86885861,13.53378451,0.808988477,6.664686836,12.4914903,11.2565684,13.84076165,0.784586118,6.280964872,3487.166415,3096.666403,3877.666427,237.3085706,6.805197757,122248,108714.7185,135781.2815,8224.234571,6.727500303,5.114514438,4.067548987,6.412948642,0.707840996,13.83984745,0.038759497,0.01445383,0.10389528,0.023231082,59.93648905,94.84672607,NA,NA,29,72284.6632506123
"6",203,2,3,"","NO","Dispersos 2",12.14636377,11.13412374,13.23692223,0.638569103,5.257286174,10.04854188,9.160429152,11.01231986,0.562252077,5.595359837,8.261512268,7.5330284,8.989996136,0.442702843,5.358617504,119643,109156.9575,130129.0425,6372.414028,5.32619044,19.08155284,16.77850347,21.61860384,1.470238204,7.705023881,0.239109114,0.181586578,0.314796027,0.039974791,16.7182212,80.67933805,NA,NA,102,102945.208997355
"7",204,2,4,"","NO","Concentrados 2",11.86181413,10.4400143,13.44817003,0.912866733,7.695844184,4.030662836,3.619809505,4.485978095,0.262767008,6.51920091,462.8880944,402.8131972,522.9629917,36.50777862,7.886955629,107306,93849.79318,120762.2068,8177.395923,7.620632512,10.95217513,9.34708477,12.79399336,1.045110445,9.54249209,0.713686405,0.362741278,1.39939541,0.292939762,41.04600559,88.33413847,NA,NA,29,89267.5445039259
"8",205,2,5,"","NO","Altamente concentrado 2",11.66083493,10.0991728,13.42791214,1.009776912,8.65955927,10.27115242,9.238437986,11.40480236,0.657579971,6.402202439,4201.419441,3574.664329,4828.174554,380.8818314,9.06555122,117200,100124.7437,134275.2563,10376.70814,8.853846538,7.533506101,6.363902699,8.89764146,0.767438861,10.18700789,0.147163038,0.092268084,0.234641074,0.041738146,28.36184043,92.31933086,NA,NA,29,111230.052587247
"9",206,2,6,"","NO","Concentrados 1",11.94170517,10.43197195,13.6366645,0.972371661,8.142653391,10.00002526,9.221427523,10.83651519,0.490445776,4.904445369,3251.59053,2797.93374,3705.247321,275.6892221,8.478595921,116416,99667.81043,133164.1896,10177.94828,8.742740069,5.704378484,4.635322656,7.001890361,0.715225456,12.53818375,0.262906008,0.169893671,0.406632747,0.069724143,26.52055904,94.03271551,NA,NA,29,119884.978770647
"10",207,2,7,"","NO","Dispersos 1",13.50460195,12.36144189,14.7357036,0.721054244,5.339322451,7.219823976,6.656036116,7.827362029,0.355639451,4.925874259,21.74351554,19.86610117,23.62092991,1.140912947,5.247141132,128576,117927.7701,139224.2299,6470.976036,5.032802417,8.862591311,7.9356205,9.886215277,0.591953679,6.679239264,0.177542147,0.123193909,0.25580525,0.039417996,22.20204986,90.95986654,NA,NA,29,23484.6156775612
"11",208,2,8,"","NO","Concentrados 1",13.93699073,11.95596658,16.18591368,1.283428702,9.208793543,5.944585582,5.254977825,6.718273134,0.443787339,7.46540415,3563.937109,2971.849939,4156.024278,359.8139703,10.09596857,133219,111303.679,155134.321,13318.03675,9.997100076,6.856257493,5.679942421,8.25486612,0.779171882,11.36439061,0.210985073,0.117931851,0.377183959,0.074542964,35.33091838,92.93275743,NA,NA,29,108075.948635378
