CVE_FED,Entidad,PRES_INICIAL,PRES_AMB,CuP_TOTAL, Secret_MAmb , Prop_Gasto ,Prop_Pres,,,,,,,,,,,,,,,T4_AMPLIACIONES
0,0,38025998770,323781990.8,2.02E+12,609124520,0.000302,0.01,,,,,,,,,,,,,,,
100,1,19417341000,"268’338,000",25969769080,24990365,0.000962,#¡VALOR!,,,,,,,,,,,,,,,
200,2,44946972237,51284500.45,54717463072,6861594,0.000125,0,,,,,,,,,,,,,,,
300,3,13909765878,48743608,17861795417,0,0,0,,,,,,,,,,,,,,,
400,4,"19,277 ́532,100","6’197,402",22862079320,9449290,0.000413,#¡VALOR!,,,,,,,,,,,,,,,
500,5,43697944151,58772380,52540146835,13182830,0.000251,0,,,,,,,,,,,,,,,
600,6,15517525000,"314,189,53",16529091993,0,0,#¡VALOR!,,,,,,,,,,,,,,,
700,7,"81.891.143.366,00",128525006.5,99298839090,96443971,0.000971,#¡VALOR!,,,,,,,,,,,,,,,
800,8,"61.954.630.000,00",188459655,59961291494,25723847,0.000429,#¡VALOR!,,,,,,,,,,,,,,,
900,9,43446576355,1461483669,NA,NA,0,0.03,,,,,,,,,,,,,,,
1000,10,,,38849810448,8188257,0.000211,NA,,,,,,,,,,,,,,,
1100,11,"75.299.355.780,00",N/A,88710899469,0,0,NA,,,,,,,,,,,,,,,
1200,12,50351752.6,46122.9,64705509117,7147238,0.00011,0,,,,,,,,,,,,,,,
1300,13,"98,418.847.77",64341192.75,47928797634,31955273,0.000667,,,,,,,,,,,,,,,,
1400,14,"30.864.712.722,00",464599165,1.12E+11,62136112,0.000555,#¡VALOR!,,,,,,,,,,,,,,,
1500,15,"4.888.892.500.000,00","223.318.115,00",2.91E+11,101746500,0.00035,#¡VALOR!,,,,,,,,,,,,,,,
1600,16,"61.797.895.203,00","65.140.787,00",71829276721,22603337,0.000315,#¡VALOR!,,,,,,,,,,,,,,,
1700,17,"21.516.427.000,00",N/A,32637459473,15771945,0.000483,#¡VALOR!,,,,,,,,,,,,,,,
1800,18,19645122596,136746293.2,22323649898,0,0,0.01,,,,,,,,,,,,,,,
1900,19,89589496033,1171465294,1.19E+11,35441433,0.000298,0.01,,,,,,,,,,,,,,,
2000,20,"62,219’484,765.00","11’705,357.00",77765055731,7295521,0.000094,#¡VALOR!,,,,,,,,,,,,,,,
2100,21,78366979720,669422225,93549549169,0,0,0.01,,,,,,,,,,,,,,,
2200,22,31010709856,21835321,35094990443,0,0,0,,,,,,,,,,,,,,,
2300,23,26416504961,451433956,49428582589,9837315,0.000199,0.02,,,,,,,,,,,,,,,
2400,24,41580892804,50194019,49261997000,19596108,0.000398,0,,,,,,,,,,,,,,,
2500,25,47983616386,NA,53492260254,6134633,0.000115,NA,,,,,,,,,,,,,,,
2600,26,27250494262,NA,66317756410,0,0,NA,,,,,,,,,,,,,,,
2700,27,"46.843.466.730,00 ",NA,50914543067,28016560,0.00055,NA,,,,,,,,,,,,,,,
2800,28,46329478000,NA,57152841007,20485510,0.000358,NA,,,,,,,,,,,,,,,
2900,29,17051457400,NA,22106016308,8120308,0.000367,NA,,,,,,,,,,,,,,,
3000,30,79355425630,173005775,1.45E+11,8842085,0.000061,0,,,,,,,,,,,,,,,
3100,31,39922727687,NA,39560446556,24887036,0.000629,NA,,,,,,,,,,,,,,,
3200,32,35030593697,363935660,39614097562,14267452,0.00036,0.01,,,,,,,,,,,,,,,
