"","Clave Federal","Porcentaje Población Estatal","Porcentaje Población 60+","Densidad de Población (km²)","Estimador Viviendas Particulares","Población Autoadscrita Indígena","Población Aut. Afrodescendiente","Índice Étnico","Aprox. Distancia Mínima","Gasto Secretaría M. Ambiente","Gasto Ajustado al Ingreso","Escolaridad","PIB"
"1",0,1,0.10404286,60.964232,31949709,0.214965,0.0115606483,0.3553938,0.269648,609124520,0.0003015468,"9.2",140
"2",100,0.010980806,0.08609921,233.728772,334589,0.11686846,0.0004975071,0.2072987,0.249648342739269,24990365,0.0009622868,"9.6",163
"3",200,0.027739857,0.08463715,46.406572,967863,0.0853664,0.0022453334,0.1602552,0.52880537200121,6861594,0.0001254004,"9.9",157
"4",300,0.005956869,0.08148123,9.633812,209834,0.14470478,0.015493751,0.273554,0.419562094128864,0,0,"9.9",198
"5",400,0.007528866,0.09549399,15.648932,244471,0.4453797,0.0039491917,0.4983827,0.493603812301706,9449290,0.0004133172,NA,NA
"6",500,0.02472096,0.0969923,19.492225,809275,0.06933871,0.0009343754,0.1307991,0.592218151808835,13182830,0.0002509097,"9.6",198
"7",600,0.005950226,0.10150653,126.399432,205243,0.20428832,0.0010713758,0.3268119,0.187465200243827,0,0,"9.4",141
"8",700,0.043653268,0.08143609,71.174966,1239007,0.36146747,0.0007746399,0.4626055,0.198501750596214,96443971,0.0009712497,"7.6",51
"9",800,0.029754468,0.09614674,14.375079,1033658,0.11280378,0.000769842,0.201523,0.344659216311562,25723847,0.0004290076,"9.4",151
"10",1000,0.014680356,0.10134754,14.22418,455989,0.07944532,0.0001082773,0.1464669,0.670435401919221,8188257,0.000210767,"9.3",110
"11",1100,0.048972142,0.09540602,191.254931,1443035,0.09129954,0.0003495239,0.1665628,0.465174814630122,0,0,"8.5",119
"12",1200,0.029559347,0.10938764,55.557856,895157,0.33916696,0.0649583061,0.5256795,0.284807495159536,7147238,0.000110458,"7.9",66
"13",1300,0.023913168,0.10897791,137.27957,757252,0.36211652,0.0007231422,0.4628978,0.164076158823345,31955273,0.0006667239,"8.4",89
"14",1400,0.065630223,0.10317496,99.81221,2059987,0.1112237,0.0077936679,0.2114381,0.257277467592626,62136112,0.0005547867,"9.3",146
"15",1500,0.135426303,0.09373992,724.230057,4168206,0.16998633,0.018796724,0.3126784,0.0890362566286456,101746500,0.0003496443,"9.5",92
"16",1600,0.038353904,0.11139671,78.235044,1191884,0.27687142,0.0008144887,0.4016039,0.238222655539309,22603337,0.0003146814,"7.8",89
"17",1700,0.015927374,0.11824283,390.213093,523984,0.28114608,0.0041732084,0.4101709,0.118950218642471,15771945,0.0004832467,"9.4",102
"18",1800,0.009880721,0.10869311,42.397606,332553,0.22184243,0.0006291012,0.346235,0.454768777236753,0,0,"9.1",99
"19",1900,0.042830015,0.09853669,79.797407,1393542,0.06881174,0.014892263,0.1554448,0.162597701597738,35441433,0.0002978272,"9.9",237
"20",2000,0.033195549,0.11913917,42.320796,1043527,0.65725553,0.049450224,0.4795483,0.278323779849522,7295521,9.38149e-05,"7.5",61
"21",2100,0.05160917,0.10073607,179.803341,1554026,0.35283422,0.0011804406,0.4582096,0.225306022791531,0,0,"8.8",92
"22",2200,0.017053118,0.08569191,174.360162,533596,0.19174321,0.0011568055,0.3118228,0.124327631836333,0,0,"9.6",186
"23",2300,0.01256214,0.06245829,33.587891,441200,0.44442787,0.005632801,0.5000189,0.195299644398403,9837315,0.0001990208,"9.7",171
"24",2400,0.022737412,0.11358846,44.45388,710233,0.23202567,0.0003922261,0.3569816,0.265669768861476,19596108,0.0003977936,"9",128
"25",2500,0.024816383,0.1106448,51.709198,806237,0.12831551,0.0003870114,0.2243757,0.563800880786429,6134633,0.0001146826,"9.7",125
"26",2600,0.023845997,0.10049222,15.892106,814820,0.17828287,0.0005564268,0.29391,0.639914812616062,0,0,"10",193
"27",2700,0.02003896,0.09030123,96.851426,646448,0.25767554,0.0011071812,0.384199,0.387283209855452,28016560,0.0005502664,"NA ",NA
"28",2800,0.02879341,0.10341436,42.887578,987184,0.06295875,0.0029354696,0.123474,0.547160790674111,20485510,0.0003584338,"9.6",138
"29",2900,0.010648699,0.09421871,318.432784,310504,0.25243411,0.0006190846,0.3783471,0.111770925545072,8120308,0.0003673348,"9.4",72
"30",3000,0.067869605,0.12092578,112.95063,2251217,0.29252284,0.0328089782,0.4581768,0.319117530905574,8842085,6.09799e-05,"8.2",95
"31",3100,0.017545066,0.11096499,53.060704,565015,0.65403459,0.0012183056,0.4533867,0.231367390247471,24887036,0.0006290889,"8.8",114
"32",3200,0.013211738,0.11080737,20.979082,418850,0.07613052,0.0001564074,0.1409583,0.48962208569091,14267452,0.000360161,"8.7",96
