,CVE_FED,entidad,distrito,ANP_NEAR,dist_min
1,701,7,1,18,1133724.645
2,702,7,2,11,1107616.051
3,703,7,3,8,1174084.898
4,704,7,4,11,1038824.937
5,705,7,5,11,1149966.322
6,706,7,6,11,1038593.178
7,707,7,7,130,1066304.916
8,708,7,8,62,1183218.044
9,709,7,9,11,1123319.049
10,710,7,10,127,1017577.969
11,711,7,11,62,1187859.876
12,712,7,12,105,1309982.63
13,713,7,13,130,1230537.637
14,801,8,1,74,14259.96481
15,802,8,2,17,0
16,803,8,3,74,6799.747072
17,804,8,4,74,29450.78634
18,805,8,5,10,0
19,806,8,6,32,0
20,807,8,7,89,0
21,808,8,8,32,28807.31624
22,809,8,9,168,0
23,901,9,1,41,498.4865241
24,902,9,2,41,0
25,903,9,3,68,1925.531891
26,904,9,4,22,0
27,905,9,5,42,0
28,906,9,6,34,0
29,907,9,7,41,1570.847059
30,908,9,8,41,3382.898085
31,909,9,9,22,1907.493202
32,910,9,10,68,2846.314246
33,911,9,11,41,4638.451032
34,912,9,12,37,4754.245326
35,913,9,13,22,2634.967451
36,914,9,14,44,0
37,915,9,15,37,235.0213191
38,916,9,16,37,1809.484043
39,917,9,17,48,0
40,918,9,18,22,0
41,919,9,19,22,0
42,920,9,20,22,1837.847685
43,921,9,21,42,0
44,922,9,22,22,2915.556894
45,923,9,23,37,0
46,924,9,24,22,77.39925702
47,1001,10,1,15,0
48,1002,10,2,72,0
49,1003,10,3,15,0
50,1004,10,4,15,0
51,1101,11,1,114,0
52,1102,11,2,94,14721.61353
53,1103,11,3,181,74912.61597
54,1104,11,4,181,0
55,1105,11,5,181,99299.79954
56,1106,11,6,181,72053.08814
57,1107,11,7,60,44282.13686
58,1108,11,8,24,47480.94563
59,1109,11,9,181,82065.38311
60,1110,11,10,49,37825.45303
61,1111,11,11,181,98394.58628
62,1112,11,12,24,32210.83523
63,1113,11,13,49,65642.33837
64,1114,11,14,24,7325.246782
65,1115,11,15,24,87468.70424
