"","CVE_FED","entidad","distrito","ANP_Cercana","dist_min"
"1",1201,12,1,110,21768.5591992315
"2",1202,12,2,46,0
"3",1203,12,3,110,0
"4",1204,12,4,169,0
"5",1205,12,5,152,19864.2159919595
"6",1206,12,6,45,0
"7",1207,12,7,169,29697.8400899563
"8",1208,12,8,152,0
"9",1209,12,9,169,0
"10",1301,13,1,137,1963.32434975893
"11",1302,13,2,114,0
"12",1303,13,3,125,0
"13",1304,13,4,112,0
"14",1305,13,5,99,0
"15",1306,13,6,125,0
"16",1307,13,7,125,4164.46757219732
"17",1401,14,1,15,0
"18",1402,14,2,15,22326.7344946405
"19",1403,14,3,15,0
"20",1404,14,4,58,8344.1004847035
"21",1405,14,5,156,0
"22",1406,14,6,58,680.415738059364
"23",1407,14,7,58,17832.7543901098
"24",1408,14,8,58,5458.68488710113
"25",1409,14,9,58,13899.5098772662
"26",1410,14,10,58,0
"27",1411,14,11,58,12885.5954967485
"28",1412,14,12,58,0
"29",1413,14,13,58,2371.21343902319
"30",1414,14,14,58,5804.94082211967
"31",1415,14,15,58,43070.320503049
"32",1416,14,16,58,12844.9268390297
"33",1417,14,17,175,0
"34",1418,14,18,15,0
"35",1419,14,19,104,0
"36",1420,14,20,58,15431.2205102607
"37",1501,15,1,115,0
"38",1502,15,2,41,13100.1251824109
"39",1503,15,3,85,3889.59281567772
"40",1504,15,4,68,10868.5396347521
"41",1505,15,5,76,3533.86012819024
"42",1506,15,6,41,7623.69034750901
"43",1507,15,7,68,13601.1290417926
"44",1508,15,8,41,5374.77715670279
"45",1509,15,9,115,0
"46",1510,15,10,41,11530.2878902578
"47",1511,15,11,41,5386.47303750035
"48",1512,15,12,55,7242.22662311581
"49",1513,15,13,41,5761.80675121133
"50",1514,15,14,68,3993.07726587389
"51",1515,15,15,68,3896.67011066896
"52",1517,15,17,41,2909.46108487147
"53",1518,15,18,48,0
"54",1516,15,16,41,0
"55",1519,15,19,41,3584.67834362444
"56",1520,15,20,41,4121.20701883819
"57",1521,15,21,30,0
"58",1522,15,22,68,0
"59",1523,15,23,30,0
"60",1524,15,24,68,0
"61",1525,15,25,22,11694.8455811542
"62",1526,15,26,27,2132.49344668644
"63",1527,15,27,27,0
"64",1528,15,28,99,16465.765412348
"65",1529,15,29,22,5911.58280736483
"66",1531,15,31,22,7328.29978199492
"67",1530,15,30,55,7538.8555529809
"68",1532,15,32,22,10687.2405035409
"69",1533,15,33,55,0
"70",1534,15,34,113,0
"71",1535,15,35,35,0
"72",1536,15,36,144,0
"73",1537,15,37,41,15567.4077315458
"74",1538,15,38,76,0
"75",1539,15,39,22,8679.619487144
"76",1540,15,40,144,0
"77",1541,15,41,41,13659.456355585
"78",1601,16,1,110,0
"79",1602,16,2,49,0
"80",1603,16,3,49,0
"81",1604,16,4,84,5346.5410718592
"82",1605,16,5,60,4382.32391351692
"83",1606,16,6,115,0
"84",1607,16,7,60,0
"85",1608,16,8,49,14057.548985774
"86",1609,16,9,84,0
"87",1610,16,10,49,2966.21356077551
"88",1611,16,11,110,2563.01019103641
"89",1612,16,12,110,0
