,CVE_FED,entidad,distrito,ANP_Cercana,dist_min
1,1701,17,1,42,0
2,1702,17,2,42,10.21016855
3,1703,17,3,90,0
4,1704,17,4,90,0
5,1705,17,5,42,0
6,1801,18,1,15,0
7,1802,18,2,15,0
8,1803,18,3,15,0
9,1901,19,1,14,0
10,1902,19,2,23,8609.245204
11,1904,19,4,23,4908.190878
12,1903,19,3,23,12539.338
13,1905,19,5,124,9235.618854
14,1906,19,6,124,2308.155545
15,1907,19,7,124,607.9277715
16,1908,19,8,23,2799.084049
17,1909,19,9,14,0
18,1910,19,10,124,0
19,1911,19,11,23,0
20,1912,19,12,23,0
21,2001,20,1,142,18016.13539
22,2002,20,2,142,0
23,2003,20,3,142,0
24,2004,20,4,107,0
25,2005,20,5,47,8272.634179
26,2006,20,6,121,0
27,2007,20,7,131,0
28,2008,20,8,7,0
29,2009,20,9,161,0
30,2010,20,10,159,0
31,2101,21,1,112,0
32,2102,21,2,112,0
33,2103,21,3,28,26409.60788
34,2104,21,4,9,0
35,2105,21,5,55,0
36,2106,21,6,70,0
37,2107,21,7,70,0
38,2108,21,8,83,0
39,2109,21,9,70,6576.48114
40,2110,21,10,70,9453.320891
41,2111,21,11,70,13084.1528
42,2112,21,12,70,11926.17964
43,2113,21,13,55,0
44,2114,21,14,142,0
45,2115,21,15,142,0
46,2201,22,1,114,0
47,2202,22,2,36,17248.79142
48,2203,22,3,24,85.63080059
49,2204,22,4,36,0
50,2205,22,5,36,0
51,2301,23,1,80,0
52,2302,23,2,143,0
53,2303,23,3,174,116.583353
54,2304,23,4,174,0
55,2401,24,1,96,0
56,2402,24,2,126,0
57,2403,24,3,114,0
58,2404,24,4,114,0
59,2405,24,5,181,6728.651357
60,2406,24,6,180,3623.864007
61,2407,24,7,114,0
